record_id,clip_index,label,seq_len
119f9726-eb4c-5a0e-a7bb-9e15256149a1.h5,0,0,7500
119f9726-eb4c-5a0e-a7bb-9e15256149a1.h5,1,0,7500
119f9726-eb4c-5a0e-a7bb-9e15256149a1.h5,2,0,7500
119f9726-eb4c-5a0e-a7bb-9e15256149a1.h5,3,0,7500
119f9726-eb4c-5a0e-a7bb-9e15256149a1.h5,4,0,7500
119f9726-eb4c-5a0e-a7bb-9e15256149a1.h5,5,0,7500
119f9726-eb4c-5a0e-a7bb-9e15256149a1.h5,6,0,7500
119f9726-eb4c-5a0e-a7bb-9e15256149a1.h5,7,0,7500
119f9726-eb4c-5a0e-a7bb-9e15256149a1.h5,8,0,7500
119f9726-eb4c-5a0e-a7bb-9e15256149a1.h5,9,1,7500
119f9726-eb4c-5a0e-a7bb-9e15256149a1.h5,10,1,7500
119f9726-eb4c-5a0e-a7bb-9e15256149a1.h5,11,1,7500
119f9726-eb4c-5a0e-a7bb-9e15256149a1.h5,12,1,7500
119f9726-eb4c-5a0e-a7bb-9e15256149a1.h5,13,2,7500
119f9726-eb4c-5a0e-a7bb-9e15256149a1.h5,14,0,7500
119f9726-eb4c-5a0e-a7bb-9e15256149a1.h5,15,1,7500
119f9726-eb4c-5a0e-a7bb-9e15256149a1.h5,16,2,7500
119f9726-eb4c-5a0e-a7bb-9e15256149a1.h5,17,2,7500
119f9726-eb4c-5a0e-a7bb-9e15256149a1.h5,18,2,7500
119f9726-eb4c-5a0e-a7bb-9e15256149a1.h5,19,1,7500
119f9726-eb4c-5a0e-a7bb-9e15256149a1.h5,20,2,7500
119f9726-eb4c-5a0e-a7bb-9e15256149a1.h5,21,2,7500
119f9726-eb4c-5a0e-a7bb-9e15256149a1.h5,22,2,7500
119f9726-eb4c-5a0e-a7bb-9e15256149a1.h5,23,2,7500
119f9726-eb4c-5a0e-a7bb-9e15256149a1.h5,24,2,7500
119f9726-eb4c-5a0e-a7bb-9e15256149a1.h5,25,2,7500
119f9726-eb4c-5a0e-a7bb-9e15256149a1.h5,26,2,7500
119f9726-eb4c-5a0e-a7bb-9e15256149a1.h5,27,2,7500
119f9726-eb4c-5a0e-a7bb-9e15256149a1.h5,28,2,7500
119f9726-eb4c-5a0e-a7bb-9e15256149a1.h5,29,2,7500
119f9726-eb4c-5a0e-a7bb-9e15256149a1.h5,30,2,7500
119f9726-eb4c-5a0e-a7bb-9e15256149a1.h5,31,2,7500
119f9726-eb4c-5a0e-a7bb-9e15256149a1.h5,32,2,7500
119f9726-eb4c-5a0e-a7bb-9e15256149a1.h5,33,2,7500
119f9726-eb4c-5a0e-a7bb-9e15256149a1.h5,34,2,7500
